** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
Warning: No xauth data; using fake authentication data for X11 forwarding.
 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60472   60472        0       6185    244344274   0.004    60       16       3376    2968    3711    5253   12253     15387  2443794     277
   1  2699999  60166   60166        0       6055    257578516   0.004    60       16       3526    3316    3812    6614   12180     13793   817104     184
   2  2699999  60193   60193        0       6101    243825670   0.004    60       16       3411    3055    3725    5027   11988     14133  1715225     251
   3  2699999  60301   60301        0       6120    239277457   0.004    60       16       3424    3090    3734    5106   11904     13248  1496359     243
   4  2699999  60265   60265        0       6090    240952475   0.004    60       16       3424    3091    3737    5158   12258     13675  1043261     243
   5  2699999  60303   60303        0       6157    239777572   0.004    60       16       3414    3054    3731    5102   12263     13602   599274     251
   6  2699999  60282   60282        0       6140    244416929   0.004    60       16       3384    3001    3706    4962   12244     13767  1076305     266
   7  2699999  61253   61253        0       7812    228209488   0.004    60       16       3272    2754    3654    4934   12098     13412    34052     337
   8  2699999  60479   60479        0       6309    230401041   0.004    60       16       3276    2915    3611    5035   11612     13252  1478987     266
   9  2699999  60483   60483        0       6249    228505305   0.004    60       16       3280    2912    3611    4932   11430     13072  1396896     267
  10  2699999  60506   60506        0       6273    228257134   0.004    60       16       3283    2921    3612    4879   11427     12895  1049454     263
  11  2699999  60441   60441        0       6229    232515789   0.004    60       16       3301    2972    3624    5005   11536     13065  1939808     248
  12  2699999  60428   60428        0       6279    233220029   0.004    60       16       3303    2974    3623    5038   11595     13162  2601066     250
  13  2699999  60394   60394        0       6170    228951771   0.004    60       16       3300    2971    3616    5013   11512     13189    31850     247
  14  2699999  60426   60426        0       6201    223505124   0.004    60       16       3233    2871    3573    4825   11435     13142    26913     271
  15  2699999  60467   60467        0       6247    222034969   0.004    60       16       3223    2852    3556    4777   11404     13057   325041     271
