 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60303   60303        0         66    195786770   0.003    60       16       3275    2855    3535    3665    4934     11546   228635     247
   1  2699999  60107   60107        0         24    199206242   0.003    60       16       3347    3030    3576    3700    4608      6906   125798     205
   2  2699999  60195   60195        0         27    203457859   0.003    60       16       3364    3063    3590    3710    4603      6647  1006332     200
   3  2699999  60206   60206        0         20    209994783   0.003    60       16       3467    3284    3661    3778    4814      6522    17598     148
   4  2699999  60206   60206        0         22    198278513   0.003    60       16       3347    3027    3575    3697    4558      6404    16032     204
   5  2699999  60749   60749        0        716    201244004   0.003    60       16       3344    2995    3580    3708    4880      7875   408724     216
   6  2699999  60230   60230        0         23    196574693   0.003    60       16       3323    2963    3563    3685    4515      6693    23706     223
   7  2699999  60271   60271        0         89    189962992   0.003    60       16       3223    2780    3501    3632    4484      7973    28870     268
   8  2699999  60252   60252        0         78    193210664   0.003    60       16       3226    2915    3471    3598    4423      6689    19263     215
   9  2699999  60237   60237        0         16    192346998   0.003    60       16       3223    2905    3464    3590    4246      5795    16924     216
  10  2699999  60227   60227        0         16    189871435   0.003    60       16       3188    2837    3444    3573    4147      5754    18223     233
  11  2699999  60227   60227        0         16    190289592   0.003    60       16       3193    2852    3443    3573    4214      5860    16522     226
  12  2699999  60250   60250        0         62    193278681   0.003    60       16       3233    2927    3469    3594    4295      6146    16782     211
  13  2699999  60226   60226        0         18    193137705   0.003    60       16       3233    2926    3468    3595    4196      5845    62636     210
  14  2699999  60227   60227        0         19    188767397   0.003    60       16       3156    2825    3418    3550    4132      5826    26826     231
  15  2699999  60589   60589        0        894    191483131   0.003    60       16       3160    2832    3418    3551    4888      7651   344562     228
