trial,ns
0,567880440
1,457864336
2,457872800
3,457810133
4,457842003
5,457819716
6,457881470
7,457829317
8,457824214
9,457809964
10,457857762
11,457889413
12,457830397
13,457826672
14,457808240
15,457902562
16,457807616
17,457815777
18,457843365
19,457865508
20,457850788
21,457798685
22,457826874
23,457834562
24,457866106
25,457792200
26,457830454
27,457857806
28,457867903
29,457811863
30,457796593
31,457805393
32,457850660
33,458977738
34,457805716
35,457813450
36,457891659
37,457874747
38,457822834
39,457793237
40,457822191
41,457849666
42,457810260
43,457796480
44,457809040
45,457920901
46,457796853
47,457828252
48,457822377
49,457793633
50,457870231
51,457806918
52,457810630
53,457851584
54,457866045
55,457810130
56,457792854
57,457793913
58,457816921
59,457877715
