trial,ns
0,458056196
1,457787361
2,457729481
3,457730568
4,457769640
5,457840853
6,457744075
7,457728586
8,458491016
9,457763720
10,457814232
11,457731363
12,457732019
13,457744291
14,457777112
15,457727338
16,457754738
17,457740172
18,457763343
19,457811830
20,457726009
21,457732237
22,457733354
23,457782419
24,457729708
25,457723123
26,457783862
27,457783731
28,457728273
29,457730383
30,457750612
31,457735438
32,457776456
33,457731555
34,457729522
35,457764193
36,457792644
37,457743226
38,457730166
39,457722838
40,457776813
41,457740271
42,457729325
43,457725190
44,457777938
45,457799813
46,457719619
47,457724521
48,457754367
49,457783743
50,457730386
51,457735474
52,457747610
53,457790447
54,457778264
55,457725780
56,457749840
57,457736471
58,457786591
59,457720676
