** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
Warning: No xauth data; using fake authentication data for X11 forwarding.
 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60412   60412        0         84    201616765   0.003    60       16       3332    2964    3601    3743    5167      9165    85345     244
   1  2699999  60149   60149        0         25    197602473   0.003    60       16       3335    2948    3597    3733    4670      7035   119348     244
   2  2699999  60142   60142        0         27    202936141   0.003    60       16       3392    3072    3637    3771    4725      6901   192455     215
   3  2699999  60191   60191        0         27    202927970   0.003    60       16       3361    3001    3616    3751    4712      7087  1025269     230
   4  2699999  60222   60222        0         86    200582564   0.003    60       16       3365    3021    3618    3756    4774      7652    96840     225
   5  2699999  60201   60201        0         20    201888375   0.003    60       16       3387    3066    3633    3764    4707      6721    18152     216
   6  2699999  61211   61211        0       1739    204864382   0.003    60       16       3363    3008    3624    3765    5627      7653    18456     234
   7  2699999  60211   60211        0         96    196447930   0.003    60       16       3274    2885    3564    3702    4675      7703   360864     265
   8  2699999  60249   60249        0        120    189672295   0.003    60       16       3200    2763    3505    3655    4544      7016    18144     284
   9  2699999  60229   60229        0         16    207503253   0.003    60       16       3422    3216    3643    3777    4726      6324    19754     170
  10  2699999  60219   60219        0         17    191436971   0.003    60       16       3232    2823    3526    3668    4373      6195    18051     268
  11  2699999  60221   60221        0         17    191785078   0.003    60       16       3228    2837    3521    3667    4446      6210    64322     262
  12  2699999  60219   60219        0         21    192082728   0.003    60       16       3236    2845    3523    3665    4418      6025    17323     258
  13  2699999  60222   60222        0         16    189694724   0.003    60       16       3210    2784    3504    3652    4325      6079    19001     274
  14  2699999  60229   60229        0         17    186559097   0.003    60       16       3136    2715    3462    3612    4277      6073    27717     292
  15  2699999  60211   60211        0         19    185531370   0.003    60       16       3122    2677    3445    3597    4262      6372   480489     297
