 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60840   60840        0       6680    250710672   0.004    60       16       3440    3185    3761    5733   12268     13864   134978     217
   1  2699999  60245   60245        0       6121    227033690   0.004    60       16       3323    2914    3674    4647   11594     12936   235683     288
   2  2699999  60551   60551        0       6718    226511058   0.004    60       16       3307    2877    3667    4742   11601     13033   101908     297
   3  2699999  60253   60253        0       6178    225285711   0.004    60       16       3303    2872    3664    4683   11596     13086    92621     300
   4  2699999  60328   60328        0       6148    226474256   0.004    60       16       3310    2890    3666    4640   11752     13101    23376     294
   5  2699999  60320   60320        0       6219    221088201   0.004    60       16       3221    2717    3622    4530   11813     13192   408405     345
   6  2699999  60294   60294        0       6120    226971895   0.004    60       16       3235    2748    3618    4431   11908     13221  1022372     330
   7  2699999  60286   60286        0       6098    222856565   0.004    60       16       3262    2805    3633    4487   11876     13102    19441     315
   8  2699999  60442   60442        0       6197    233594722   0.004    60       16       3411    3043    3746    4968   11404     12955    57505     268
   9  2699999  60433   60433        0       6178    238449745   0.004    60       16       3454    3134    3771    5047   11483     12838    56615     243
  10  2699999  60429   60429        0       6192    236457953   0.004    60       16       3440    3105    3758    4962   11444     12827    42870     251
  11  2699999  60368   60368        0       6163    238131502   0.004    60       16       3450    3118    3770    5056   11535     12888    28248     248
  12  2699999  60321   60321        0       6116    238655044   0.004    60       16       3453    3130    3770    5077   11657     12903    24876     245
  13  2699999  60381   60381        0       6207    237499759   0.004    60       16       3437    3084    3765    5170   11645     12970    35811     260
  14  2699999  60344   60344        0       6135    231842392   0.004    60       16       3386    3004    3731    4867   11458     12831    27298     278
  15  2699999  60379   60379        0       6153    230970321   0.004    60       16       3381    2995    3727    4840   11398     12805   345536     280
