trial,ns
0,458345458
1,457781448
2,457806456
3,457784515
4,457773665
5,457734510
6,457727349
7,457792051
8,457736460
9,457731678
10,457796981
11,457789267
12,457759635
13,457739747
14,457758834
15,457732762
16,457804363
17,457726332
18,457741772
19,457778231
20,457786339
21,457754299
22,457739734
23,457737339
24,457790298
25,457727850
26,457740900
27,457739597
28,457785822
29,457791586
30,457733883
31,457732828
32,457728403
33,457781579
34,457753011
35,457728169
36,457811477
37,457783775
38,457745153
39,457751328
40,457732384
41,457738489
42,457792091
43,457728626
44,457734839
45,457809748
46,457787144
47,457744006
48,457728894
49,457737898
50,457736332
51,457794700
52,457729160
53,457728180
54,457791641
55,457783850
56,457748043
57,457734034
58,457738878
59,457784381
