trial,ns
0,524409337
1,457997714
2,457898235
3,457906012
4,458149454
5,457975604
6,457802662
7,458002718
8,457803094
9,457859894
10,457800364
11,458090098
12,457941048
13,457847028
14,457962417
15,457843963
16,457802284
17,457899991
18,458055882
19,457898292
20,458065775
21,458054848
22,457858344
23,457804055
24,457927036
25,458062775
26,457898255
27,458051368
28,457950934
29,457804323
30,457842991
31,458145913
32,457910446
33,457898268
34,458089526
35,457860180
36,457803583
37,457898778
38,457997714
39,457927538
40,457957799
41,458090516
42,457802238
43,457801951
44,458049185
45,457993026
46,457902086
47,457994468
48,457985190
49,457802741
50,457799919
51,458192045
52,457800957
53,457975510
54,458004164
55,457900201
56,457859536
57,458050063
58,457902111
59,457829133
