Node	Power
SP1-00	1.501e+02
SP1-01	1.510e+02
SP1-02	1.501e+02
SP1-04	1.508e+02
SP1-05	1.508e+02
SP1-06	1.509e+02
SP1-07	1.497e+02
SP1-08	1.511e+02
SP1-09	1.508e+02
SP1-10	1.509e+02
SP1-11	1.500e+02
SP1-12	1.509e+02
SP1-14	1.509e+02
SP1-15	1.500e+02
SP1-16	1.510e+02
SP1-17	1.331e+02
SP1-18	1.503e+02
SP1-19	1.505e+02
SP0-00	1.502e+02
SP0-01	1.510e+02
SP0-03	1.507e+02
SP0-04	1.331e+02
SP0-05	1.507e+02
SP0-06	1.509e+02
SP0-07	1.508e+02
SP0-08	1.505e+02
SP0-09	1.506e+02
SP0-10	1.494e+02
SP0-11	1.334e+02
SP0-12	1.509e+02
SP0-13	1.507e+02
SP0-14	1.509e+02
SP0-15	1.508e+02
SP0-16	1.507e+02
SP0-17	1.508e+02
SP0-18	1.506e+02
SP0-19	1.509e+02
