host,mode,rep,bandwidth_GBps
SP1-00.uhpc.unam.na,local,1,14.587181
SP1-00.uhpc.unam.na,local,2,14.591769
SP1-00.uhpc.unam.na,local,3,14.595184
SP1-00.uhpc.unam.na,local,4,14.823999
SP1-00.uhpc.unam.na,local,5,14.815895
SP1-00.uhpc.unam.na,local,6,14.823203
SP1-00.uhpc.unam.na,local,7,14.812929
SP1-00.uhpc.unam.na,local,8,14.816762
SP1-00.uhpc.unam.na,local,9,14.820531
SP1-00.uhpc.unam.na,local,10,14.862085
SP1-00.uhpc.unam.na,local,11,14.821155
SP1-00.uhpc.unam.na,local,12,14.865038
SP1-00.uhpc.unam.na,local,13,14.588283
SP1-00.uhpc.unam.na,local,14,14.588732
SP1-00.uhpc.unam.na,local,15,14.824697
SP1-00.uhpc.unam.na,local,16,14.861794
SP1-00.uhpc.unam.na,local,17,14.817968
SP1-00.uhpc.unam.na,local,18,14.591404
SP1-00.uhpc.unam.na,local,19,14.601473
SP1-00.uhpc.unam.na,local,20,14.817595
SP1-00.uhpc.unam.na,remote,1,9.662693
SP1-00.uhpc.unam.na,remote,2,9.657133
SP1-00.uhpc.unam.na,remote,3,9.659367
SP1-00.uhpc.unam.na,remote,4,9.665187
SP1-00.uhpc.unam.na,remote,5,9.660215
SP1-00.uhpc.unam.na,remote,6,9.665675
SP1-00.uhpc.unam.na,remote,7,9.664524
SP1-00.uhpc.unam.na,remote,8,9.661122
SP1-00.uhpc.unam.na,remote,9,9.658384
SP1-00.uhpc.unam.na,remote,10,9.662180
SP1-00.uhpc.unam.na,remote,11,9.661173
SP1-00.uhpc.unam.na,remote,12,9.662153
SP1-00.uhpc.unam.na,remote,13,9.660474
SP1-00.uhpc.unam.na,remote,14,9.663782
SP1-00.uhpc.unam.na,remote,15,9.662021
SP1-00.uhpc.unam.na,remote,16,9.667193
SP1-00.uhpc.unam.na,remote,17,9.666111
SP1-00.uhpc.unam.na,remote,18,9.665179
SP1-00.uhpc.unam.na,remote,19,9.658653
SP1-00.uhpc.unam.na,remote,20,9.664986
