host,threads,mode,rep,bandwidth_GBps
SP1-01.uhpc.unam.na,1,unpinned,1,14.735683
SP1-01.uhpc.unam.na,1,unpinned,2,14.736102
SP1-01.uhpc.unam.na,1,unpinned,3,14.728607
SP1-01.uhpc.unam.na,1,unpinned,4,14.736307
SP1-01.uhpc.unam.na,1,unpinned,5,14.732190
SP1-01.uhpc.unam.na,1,unpinned,6,14.737111
SP1-01.uhpc.unam.na,1,unpinned,7,14.727534
SP1-01.uhpc.unam.na,1,unpinned,8,14.731538
SP1-01.uhpc.unam.na,1,unpinned,9,14.737677
SP1-01.uhpc.unam.na,1,unpinned,10,14.743531
SP1-01.uhpc.unam.na,1,close,1,14.803319
SP1-01.uhpc.unam.na,1,close,2,14.575904
SP1-01.uhpc.unam.na,1,close,3,14.844425
SP1-01.uhpc.unam.na,1,close,4,14.573368
SP1-01.uhpc.unam.na,1,close,5,14.836506
SP1-01.uhpc.unam.na,1,close,6,14.791700
SP1-01.uhpc.unam.na,1,close,7,14.786120
SP1-01.uhpc.unam.na,1,close,8,14.560639
SP1-01.uhpc.unam.na,1,close,9,14.841107
SP1-01.uhpc.unam.na,1,close,10,14.567135
SP1-01.uhpc.unam.na,1,spread,1,14.835686
SP1-01.uhpc.unam.na,1,spread,2,14.836662
SP1-01.uhpc.unam.na,1,spread,3,14.565820
SP1-01.uhpc.unam.na,1,spread,4,14.833691
SP1-01.uhpc.unam.na,1,spread,5,14.554661
SP1-01.uhpc.unam.na,1,spread,6,14.788543
SP1-01.uhpc.unam.na,1,spread,7,14.560298
SP1-01.uhpc.unam.na,1,spread,8,14.809163
SP1-01.uhpc.unam.na,1,spread,9,14.575147
SP1-01.uhpc.unam.na,1,spread,10,14.795832
SP1-01.uhpc.unam.na,2,unpinned,1,30.602809
SP1-01.uhpc.unam.na,2,unpinned,2,30.357850
SP1-01.uhpc.unam.na,2,unpinned,3,30.343852
SP1-01.uhpc.unam.na,2,unpinned,4,30.585824
SP1-01.uhpc.unam.na,2,unpinned,5,30.143014
