host,threads,mode,rep,bandwidth_GBps
SP1-01.uhpc.unam.na,1,unpinned,1,14.698414
SP1-01.uhpc.unam.na,1,unpinned,2,14.750375
SP1-01.uhpc.unam.na,1,unpinned,3,14.711317
SP1-01.uhpc.unam.na,1,unpinned,4,14.498288
SP1-01.uhpc.unam.na,1,unpinned,5,14.489386
SP1-01.uhpc.unam.na,1,unpinned,6,14.469271
SP1-01.uhpc.unam.na,1,unpinned,7,14.716020
SP1-01.uhpc.unam.na,1,unpinned,8,14.493559
SP1-01.uhpc.unam.na,1,unpinned,9,14.711669
SP1-01.uhpc.unam.na,1,unpinned,10,14.507150
SP1-01.uhpc.unam.na,1,pinned,1,14.575162
SP1-01.uhpc.unam.na,1,pinned,2,14.561590
SP1-01.uhpc.unam.na,1,pinned,3,14.791350
SP1-01.uhpc.unam.na,1,pinned,4,14.835841
SP1-01.uhpc.unam.na,1,pinned,5,14.796568
SP1-01.uhpc.unam.na,1,pinned,6,14.790384
SP1-01.uhpc.unam.na,1,pinned,7,14.563747
SP1-01.uhpc.unam.na,1,pinned,8,14.837509
SP1-01.uhpc.unam.na,1,pinned,9,14.800005
SP1-01.uhpc.unam.na,1,pinned,10,14.831830
SP1-01.uhpc.unam.na,2,unpinned,1,29.793700
SP1-01.uhpc.unam.na,2,unpinned,2,30.549367
SP1-01.uhpc.unam.na,2,unpinned,3,30.362213
SP1-01.uhpc.unam.na,2,unpinned,4,30.276826
SP1-01.uhpc.unam.na,2,unpinned,5,30.546363
SP1-01.uhpc.unam.na,2,unpinned,6,30.361418
SP1-01.uhpc.unam.na,2,unpinned,7,30.546985
SP1-01.uhpc.unam.na,2,unpinned,8,30.358557
SP1-01.uhpc.unam.na,2,unpinned,9,30.572003
SP1-01.uhpc.unam.na,2,unpinned,10,30.380993
SP1-01.uhpc.unam.na,2,pinned,1,24.896551
SP1-01.uhpc.unam.na,2,pinned,2,25.122315
SP1-01.uhpc.unam.na,2,pinned,3,25.194951
SP1-01.uhpc.unam.na,2,pinned,4,24.279791
SP1-01.uhpc.unam.na,2,pinned,5,23.962203
SP1-01.uhpc.unam.na,2,pinned,6,24.403847
