host,threads,mode,rep,bandwidth_GBps
SP1-00.uhpc.unam.na,2,pinned_socketaware,1,30.385954
SP1-00.uhpc.unam.na,2,pinned_socketaware,2,30.359752
SP1-00.uhpc.unam.na,2,pinned_socketaware,3,30.589155
SP1-00.uhpc.unam.na,2,pinned_socketaware,4,29.812130
SP1-00.uhpc.unam.na,2,pinned_socketaware,5,30.635465
SP1-00.uhpc.unam.na,2,pinned_socketaware,6,29.840474
SP1-00.uhpc.unam.na,2,pinned_socketaware,7,29.838420
SP1-00.uhpc.unam.na,2,pinned_socketaware,8,29.826053
SP1-00.uhpc.unam.na,2,pinned_socketaware,9,30.394816
SP1-00.uhpc.unam.na,2,pinned_socketaware,10,30.409606
SP1-00.uhpc.unam.na,4,pinned_socketaware,1,50.959514
SP1-00.uhpc.unam.na,4,pinned_socketaware,2,49.436046
SP1-00.uhpc.unam.na,4,pinned_socketaware,3,47.657990
SP1-00.uhpc.unam.na,4,pinned_socketaware,4,48.089937
SP1-00.uhpc.unam.na,4,pinned_socketaware,5,47.463973
SP1-00.uhpc.unam.na,4,pinned_socketaware,6,48.787916
SP1-00.uhpc.unam.na,4,pinned_socketaware,7,49.340891
SP1-00.uhpc.unam.na,4,pinned_socketaware,8,47.859626
SP1-00.uhpc.unam.na,4,pinned_socketaware,9,49.741192
SP1-00.uhpc.unam.na,4,pinned_socketaware,10,47.832985
SP1-00.uhpc.unam.na,8,pinned_socketaware,1,55.566374
SP1-00.uhpc.unam.na,8,pinned_socketaware,2,56.847174
SP1-00.uhpc.unam.na,8,pinned_socketaware,3,56.268135
SP1-00.uhpc.unam.na,8,pinned_socketaware,4,56.261541
SP1-00.uhpc.unam.na,8,pinned_socketaware,5,56.268877
SP1-00.uhpc.unam.na,8,pinned_socketaware,6,56.118295
SP1-00.uhpc.unam.na,8,pinned_socketaware,7,56.380760
SP1-00.uhpc.unam.na,8,pinned_socketaware,8,56.701037
SP1-00.uhpc.unam.na,8,pinned_socketaware,9,55.664328
SP1-00.uhpc.unam.na,8,pinned_socketaware,10,55.805217
